payer,recipient,flow_type,amount_usd_bn,amount_low_bn,amount_high_bn,term_years,signed_date,status,source_key,notes
xAI,Dell,compute,5,,,,2025-02-14,reported,bloomberg_dell_xai_20250214,"Bloomberg/CNBC: Dell to supply PowerEdge XE9712 servers with Nvidia GB200 chips for Colossus expansion; deliveries through 2025"
xAI,Solaris JV,compute,,,,,2025-06-01,signed,dcd_solaris_xai_20250601,"50.1% Solaris / 49.9% xAI JV for 900MW off-site gas turbine power supplying Colossus 2; Q2 2025 JV capex $112m disclosed (SemiAnalysis); xAI's share of full capex not disclosed"
Series E investors,xAI,equity,20,,,,2026-01-06,signed,xai_seriese_20260106,"Series E aggregate $20bn (upsized from $15bn target) @ $230bn val; Valor Stepstone Fidelity QIA MGX Baron Capital + strategic Nvidia (up to $2bn per Bloomberg) and Cisco; largest single AI equity round to that date; individual amounts not separately disclosed"
Valor Compute Infra LP,xAI,lease,5.4,,,5,2026-01-07,signed,apollo_valor_xai_20260107,"$5.4bn triple-net lease SPV; Apollo led $3.5bn debt; Valor equity; Nvidia GB200 chips leased to xAI subsidiary for Colossus 2; 5-yr lease with buy-out option"
Apollo,Valor Compute Infra LP,debt,3.5,,,5,2026-01-07,signed,apollo_valor_xai_20260107,"Apollo-managed funds debt capital backing the Valor SPV that leases chips to xAI"
Tesla,xAI,equity,2,,,,2026-01-16,signed,tesla_xai_20260116,"Tesla Series E preferred; $2bn agreed Jan 16 2026; closed March 12 2026 (per Tesla 10-K/A); converted to SpaceX Class A on xAI-SpaceX merger"
xAI,Tesla,compute,0.43,,,,2025-01-01,signed,electrek_tesla_10ka_20260501,"Tesla 2025 revenue from xAI = $430.1m primarily Megapack energy-storage sales for Colossus turbine support; $78.1m additional Jan-Feb 2026"
SpaceX,xAI,equity,250,,,,2026-02-02,signed,cnbc_spacex_xai_20260202,"xAI-SpaceX all-stock acquisition Feb 2 2026 (announced); xAI valued $250bn = ~20% of $1.25trn combined SpaceX entity; share-for-share 0.1433 SpaceX per xAI share; no fresh cash injection but consolidates xAI inside SpaceX ahead of SpaceX 2026 IPO at up to $1.5trn"
Humain,xAI,equity,3,,,,2026-02-18,signed,humain_xai_20260218,"PIF-backed Humain $3bn investment in Series E ahead of SpaceX acquisition; holdings auto-converted to SpaceX shares post-merger; significant minority stake"
xAI+Humain JV,Nvidia,compute,,,,,2025-11-19,announced,humain_xai_framework_20251119,"Framework agreement for 500MW flagship Saudi data centre + multi-site network anchored on up to 600,000 Nvidia Blackwell GPUs over several years; capex / contract size not disclosed"
xAI,X (Twitter),equity,33,,,,2025-03-28,signed,cnbc_xai_x_20250328,"All-stock acquisition Mar 28 2025; X valued $33bn ($45bn less $12bn debt); xAI valued $80bn; new holdco xAI Holdings Corp; combined $113bn; xAI inherits X's $12bn debt"
Anthropic,SpaceX/xAI,compute,20,12,24,4,2026-05-06,signed,xai_anthropic_20260506,"4-year lease of Colossus 1: 220,000+ Nvidia GPUs and 300MW; CryptoBriefing estimate $5-6bn/yr ($20-24bn total); New Street estimate $3-4bn/yr ($12-16bn total); inference workload; includes orbital-DC exploration clause"
